AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Temp,Posicion
0.29,0.25,0.78,-14.10,-7.52,-1.76,37.66,posicion no valida
0.30,0.27,0.79,-2.55,-0.39,-0.20,37.70,posicion no valida
0.29,0.26,0.79,-9.13,-0.55,-1.95,37.68,posicion no valida
0.30,0.26,0.80,8.57,-13.73,-1.37,37.67,Abajo
0.28,0.27,0.78,-3.70,-4.84,-3.07,37.68,posicion no valida
0.30,0.27,0.79,-4.46,-1.53,1.12,37.68,posicion no valida
0.29,0.27,0.78,-5.03,-1.64,-1.61,37.68,posicion no valida
0.28,0.25,0.80,-4.25,-1.19,-1.32,37.69,Abajo
0.29,0.27,0.79,-3.86,-0.47,-4.64,37.69,posicion no valida
0.29,0.27,0.79,1.73,1.92,-0.10,37.71,posicion no valida
0.29,0.26,0.79,6.40,1.84,4.10,37.68,posicion no valida
0.29,0.27,0.78,-4.68,-0.77,4.74,37.68,posicion no valida
0.29,0.27,0.79,-3.83,-6.43,-2.15,37.70,posicion no valida
0.29,0.24,0.80,3.26,-1.24,-3.51,37.68,Abajo
0.30,0.26,0.79,-0.14,-4.05,2.73,37.70,posicion no valida
0.30,0.25,0.79,3.90,0.58,-3.71,37.68,posicion no valida
0.31,0.27,0.81,-11.38,5.33,0.66,37.66,Abajo
0.30,0.25,0.78,2.50,1.64,2.78,37.68,posicion no valida
0.30,0.25,0.80,-5.78,-2.43,0.24,37.68,posicion no valida
0.29,0.25,0.80,-7.27,-5.14,-1.11,37.68,Abajo
0.30,0.26,0.76,4.07,2.73,-2.49,37.67,posicion no valida
0.28,0.27,0.79,1.77,-2.92,-3.26,37.67,posicion no valida
0.30,0.25,0.78,1.56,6.39,1.28,37.68,posicion no valida
0.29,0.28,0.80,-2.21,8.08,0.10,37.64,posicion no valida
0.29,0.26,0.79,-5.57,9.72,2.00,37.67,posicion no valida
0.28,0.27,0.79,2.24,0.73,-1.12,37.65,posicion no valida
0.29,0.24,0.79,-4.76,-7.19,-2.15,37.68,posicion no valida
0.23,0.25,0.78,-2.55,6.43,-2.54,37.68,posicion no valida
0.29,0.25,0.79,-8.40,-3.75,0.34,37.66,posicion no valida
0.29,0.26,0.80,-5.45,-0.47,-1.76,37.66,posicion no valida
0.29,0.27,0.79,5.85,9.36,2.88,37.66,posicion no valida
0.29,0.26,0.80,-4.00,-8.03,1.32,37.67,Abajo
0.28,0.25,0.79,-8.92,-3.48,2.19,37.62,posicion no valida
0.29,0.26,0.79,2.07,5.44,-1.46,37.65,posicion no valida
0.29,0.28,0.78,5.00,9.74,-0.20,37.66,posicion no valida
0.27,0.27,0.80,-6.80,5.33,0.44,37.68,Abajo
0.29,0.25,0.80,-4.68,-8.87,0.07,37.66,posicion no valida
0.29,0.25,0.79,-1.55,0.02,1.95,37.66,posicion no valida
0.29,0.25,0.81,-3.28,-7.03,-0.91,37.66,Abajo
0.28,0.27,0.79,2.62,3.30,0.49,37.64,posicion no valida
0.28,0.27,0.81,1.69,-9.17,3.13,37.68,Abajo
0.27,0.26,0.79,-3.62,4.20,-3.51,37.70,posicion no valida
0.29,0.27,0.79,-3.57,7.78,-2.44,37.69,posicion no valida
0.28,0.26,0.81,2.58,-2.24,0.48,37.66,Abajo
0.28,0.26,0.79,0.29,-12.20,-1.22,37.68,posicion no valida
0.30,0.26,0.80,-5.92,7.25,-3.42,37.68,posicion no valida
0.30,0.28,0.79,3.01,-2.02,2.68,37.65,posicion no valida
0.29,0.24,0.79,5.68,9.54,-1.66,37.67,posicion no valida
0.28,0.26,0.79,-0.47,14.19,0.88,37.65,posicion no valida
0.29,0.25,0.78,-2.13,-4.50,-2.05,37.64,posicion no valida
0.28,0.25,0.78,-12.61,-9.36,-0.05,37.67,posicion no valida
0.30,0.28,0.79,2.75,1.86,1.27,37.66,posicion no valida
0.29,0.27,0.79,-6.29,5.44,2.73,37.67,posicion no valida
0.28,0.25,0.80,4.75,6.99,-0.51,37.64,posicion no valida
0.29,0.28,0.79,3.81,1.11,-3.51,37.64,posicion no valida
0.30,0.25,0.80,1.42,-3.11,-1.17,37.66,posicion no valida
0.29,0.26,0.80,5.47,0.92,-2.93,37.66,Abajo
0.29,0.26,0.78,0.67,-7.18,0.49,37.66,posicion no valida
0.28,0.25,0.79,-1.41,6.12,-2.68,37.66,posicion no valida
0.29,0.27,0.80,-4.53,6.24,-1.76,37.67,posicion no valida
0.30,0.26,0.79,2.76,-1.15,2.15,37.65,posicion no valida
0.29,0.27,0.79,-10.70,10.15,-1.32,37.67,posicion no valida
0.29,0.25,0.78,-5.91,11.36,-1.36,37.68,posicion no valida
0.28,0.26,0.78,-1.67,9.33,-2.05,37.67,posicion no valida
0.29,0.27,0.79,-7.01,7.14,-2.44,37.70,posicion no valida
0.29,0.25,0.79,-1.03,0.20,-2.15,37.66,posicion no valida
0.29,0.28,0.79,-2.89,8.29,-3.22,37.66,posicion no valida
0.28,0.27,0.80,-9.13,-16.00,-0.47,37.67,Abajo
0.30,0.24,0.80,-7.86,2.96,-5.61,37.63,posicion no valida
0.29,0.27,0.79,1.94,-3.79,-0.83,37.68,posicion no valida
0.29,0.25,0.79,-4.09,13.02,-0.93,37.68,posicion no valida
0.28,0.27,0.80,-8.62,0.43,-1.76,37.65,Abajo
0.29,0.25,0.80,-9.47,0.60,0.88,37.67,posicion no valida
0.29,0.25,0.79,-1.51,-2.96,2.49,37.67,posicion no valida
0.29,0.26,0.78,-1.75,16.00,1.66,37.64,posicion no valida
0.29,0.26,0.80,-0.09,-5.90,-4.10,37.64,posicion no valida
0.29,0.25,0.80,-2.98,-3.18,-2.88,37.65,posicion no valida
0.30,0.26,0.79,-1.20,-2.09,-0.15,37.64,posicion no valida
0.29,0.25,0.80,-0.90,-13.96,1.27,37.64,posicion no valida
0.28,0.24,0.79,-10.44,-2.66,1.36,37.62,posicion no valida
0.29,0.25,0.79,-10.53,-7.59,-0.59,37.64,posicion no valida
0.29,0.27,0.79,-1.32,0.31,4.24,37.64,posicion no valida
0.29,0.26,0.78,0.88,-3.11,0.10,37.66,posicion no valida
0.28,0.26,0.79,-3.32,1.41,0.58,37.66,posicion no valida
0.29,0.27,0.80,-8.92,-4.39,1.51,37.62,posicion no valida
0.29,0.27,0.78,-7.82,1.45,2.10,37.64,posicion no valida
0.29,0.25,0.79,-12.81,9.85,1.71,37.65,posicion no valida
0.30,0.26,0.79,-5.06,-2.51,4.20,37.65,posicion no valida
0.29,0.27,0.80,-6.71,13.01,2.19,37.64,Abajo
0.29,0.26,0.78,-0.30,4.58,4.05,37.64,posicion no valida
0.29,0.27,0.80,-0.30,11.70,3.80,37.66,posicion no valida
0.28,0.26,0.79,-2.30,9.66,-2.05,37.66,posicion no valida
0.29,0.27,0.80,-9.20,5.52,-1.90,37.67,posicion no valida
0.28,0.25,0.80,-11.59,1.75,-4.83,37.65,posicion no valida
0.29,0.25,0.79,1.56,-2.92,-2.44,37.63,posicion no valida
0.29,0.27,0.78,-13.59,-7.63,-0.00,37.64,posicion no valida
0.28,0.25,0.78,-1.15,-3.48,-2.88,37.64,posicion no valida
0.29,0.26,0.79,-4.72,3.49,-7.42,37.64,posicion no valida
0.29,0.25,0.80,-1.88,7.33,-1.66,37.64,posicion no valida
0.30,0.26,0.79,-0.52,-1.79,-2.49,37.64,posicion no valida
0.30,0.25,0.80,2.33,0.36,-4.02,37.64,posicion no valida
0.30,0.26,0.79,-1.49,-7.89,-1.27,37.67,posicion no valida
0.29,0.27,0.79,2.96,0.73,-1.90,37.67,posicion no valida
0.29,0.26,0.80,-11.17,-2.04,-0.34,37.67,posicion no valida
0.29,0.25,0.79,-0.30,3.60,1.22,37.65,posicion no valida
0.28,0.25,0.80,-12.00,-1.64,-2.93,37.64,posicion no valida
0.28,0.25,0.80,-3.36,6.73,2.81,37.64,Abajo
0.28,0.27,0.81,-2.17,-0.70,-0.24,37.65,Abajo
0.28,0.25,0.79,2.79,-2.96,-0.25,37.66,posicion no valida
0.29,0.26,0.80,2.89,5.75,2.15,37.64,posicion no valida
0.29,0.26,0.80,3.13,4.58,1.51,37.62,Abajo
0.29,0.26,0.78,-3.11,-12.73,0.68,37.64,posicion no valida
0.29,0.26,0.80,-4.25,-1.22,-4.50,37.64,Abajo
0.29,0.25,0.79,6.02,5.23,-2.64,37.64,posicion no valida
0.29,0.24,0.79,-4.38,-3.89,0.63,37.62,posicion no valida
0.28,0.27,0.80,-15.11,5.29,2.88,37.62,posicion no valida
0.29,0.26,0.78,-5.44,2.92,-1.46,37.64,posicion no valida
0.29,0.27,0.80,-2.99,6.65,-0.20,37.63,posicion no valida
0.29,0.27,0.80,-4.12,5.11,3.29,37.62,Abajo
0.29,0.28,0.78,4.32,-3.54,3.32,37.67,posicion no valida
0.29,0.26,0.77,-7.14,-2.39,0.20,37.64,posicion no valida
0.28,0.24,0.78,1.27,8.87,1.07,37.62,posicion no valida
0.29,0.26,0.79,-3.66,4.28,-0.78,37.68,posicion no valida
0.29,0.25,0.79,-4.62,2.32,0.73,37.62,posicion no valida
0.29,0.26,0.78,-3.61,-0.62,2.73,37.60,posicion no valida
0.29,0.25,0.80,2.54,0.21,-0.29,37.62,posicion no valida
0.29,0.24,0.80,1.90,3.82,-1.39,37.62,posicion no valida
0.29,0.27,0.79,-4.93,7.89,-0.39,37.64,posicion no valida
0.29,0.27,0.80,3.52,1.49,2.05,37.62,posicion no valida
0.29,0.27,0.78,-2.04,2.62,4.52,37.64,posicion no valida
0.29,0.27,0.80,-4.16,5.18,0.29,37.63,posicion no valida
0.30,0.26,0.78,-10.36,-0.32,-1.46,37.62,posicion no valida
0.29,0.26,0.80,1.99,-0.17,-1.97,37.61,posicion no valida
0.29,0.27,0.80,-7.52,-2.88,0.29,37.62,posicion no valida
0.29,0.27,0.79,-8.71,-6.54,-0.98,37.61,posicion no valida
0.28,0.26,0.79,7.48,6.65,0.83,37.62,posicion no valida
0.29,0.25,0.79,-2.62,-4.31,-0.34,37.60,posicion no valida
0.29,0.27,0.80,-1.79,-3.94,6.78,37.62,Abajo
0.28,0.27,0.78,-3.36,-4.54,1.46,37.59,posicion no valida
0.29,0.27,0.79,-2.38,7.44,-2.10,37.63,posicion no valida
0.30,0.28,0.80,-5.23,-5.44,-4.81,37.60,posicion no valida
0.29,0.27,0.80,1.10,3.98,-5.07,37.63,Abajo
0.29,0.27,0.80,2.54,0.51,-2.29,37.65,Abajo
0.29,0.25,0.79,-3.44,-2.28,-0.64,37.64,posicion no valida
0.29,0.26,0.80,-10.78,2.54,-7.47,37.59,Abajo
0.28,0.27,0.77,0.42,1.41,-5.43,37.61,posicion no valida
0.28,0.26,0.80,-1.87,15.94,-1.46,37.61,posicion no valida
0.30,0.27,0.78,-0.64,16.00,-1.56,37.56,posicion no valida
0.28,0.25,0.78,-5.73,1.23,2.15,37.59,posicion no valida
0.29,0.27,0.80,-1.53,-3.86,1.07,37.62,posicion no valida
0.28,0.25,0.80,-0.05,1.87,0.65,37.64,posicion no valida
0.28,0.27,0.79,8.57,-3.03,0.44,37.59,posicion no valida
0.29,0.26,0.79,6.06,8.52,-4.20,37.60,posicion no valida
0.29,0.26,0.79,-10.09,11.21,-5.07,37.64,posicion no valida
0.29,0.26,0.80,1.01,4.58,-6.93,37.61,posicion no valida
0.29,0.27,0.81,-2.38,-1.98,-0.91,37.62,Abajo
0.29,0.26,0.80,-3.19,-5.97,-5.37,37.58,Abajo
0.29,0.28,0.80,-6.97,1.68,-8.93,37.61,posicion no valida
0.27,0.26,0.78,1.33,13.32,-2.00,37.57,posicion no valida
0.29,0.27,0.78,4.28,6.40,-0.59,37.61,posicion no valida
0.28,0.27,0.80,-10.91,1.34,0.39,37.61,posicion no valida
0.30,0.26,0.80,-3.06,-2.66,-0.29,37.62,Abajo
0.29,0.26,0.80,-8.96,-2.35,-1.42,37.60,posicion no valida
0.29,0.26,0.80,-0.90,10.48,1.95,37.60,posicion no valida
0.28,0.27,0.79,-2.79,2.69,3.41,37.61,posicion no valida
0.30,0.25,0.79,-11.38,-2.28,-0.20,37.61,posicion no valida
0.29,0.26,0.80,-5.31,-11.66,-0.10,37.59,posicion no valida
0.30,0.27,0.79,-1.28,-1.86,-2.34,37.62,posicion no valida
0.29,0.27,0.79,-5.14,-2.88,-2.88,37.59,posicion no valida
0.29,0.26,0.79,1.56,-0.85,-2.44,37.62,posicion no valida
0.29,0.27,0.79,1.91,1.34,-4.20,37.61,posicion no valida
0.29,0.26,0.78,-2.55,0.73,2.07,37.59,posicion no valida
0.29,0.25,0.80,5.38,6.35,-2.98,37.59,Abajo
0.30,0.26,0.80,0.16,2.71,0.88,37.61,posicion no valida
0.30,0.25,0.80,-6.71,-0.17,-2.59,37.59,posicion no valida
0.29,0.25,0.79,-6.12,8.83,-0.68,37.62,posicion no valida
0.28,0.25,0.79,-2.10,1.90,2.15,37.58,posicion no valida
0.28,0.27,0.78,-12.10,1.71,-2.29,37.61,posicion no valida
0.29,0.28,0.80,-2.94,5.75,-3.61,37.61,Abajo
0.29,0.26,0.80,5.21,6.09,0.29,37.60,posicion no valida
0.29,0.27,0.78,-4.04,3.49,2.88,37.56,posicion no valida
0.29,0.25,0.78,4.03,-0.81,-0.49,37.59,posicion no valida
0.29,0.27,0.79,7.63,-7.03,1.85,37.62,posicion no valida
0.29,0.26,0.78,1.10,-2.92,2.97,37.59,posicion no valida
0.29,0.27,0.80,1.86,0.73,3.66,37.61,Abajo
0.29,0.27,0.78,0.12,7.22,5.76,37.55,posicion no valida
0.29,0.25,0.80,1.56,4.58,5.46,37.60,posicion no valida
0.29,0.25,0.79,7.21,1.87,0.78,37.62,posicion no valida
0.28,0.27,0.79,-3.53,-3.07,0.97,37.59,posicion no valida
0.29,0.26,0.79,-6.70,10.91,-0.73,37.60,posicion no valida
0.28,0.25,0.79,-4.72,-2.73,-3.35,37.61,posicion no valida
0.29,0.26,0.80,-5.22,-2.58,1.61,37.62,Abajo
0.28,0.27,0.80,2.41,5.90,1.76,37.61,Abajo
0.29,0.27,0.79,3.69,7.44,5.22,37.60,posicion no valida
0.29,0.27,0.79,-16.00,-1.15,-1.37,37.58,posicion no valida
0.29,0.25,0.79,-4.63,5.11,-1.90,37.61,posicion no valida
0.29,0.25,0.80,-9.34,7.12,-1.71,37.60,posicion no valida
0.28,0.25,0.79,-4.28,6.24,0.88,37.61,posicion no valida
0.29,0.27,0.79,-0.20,0.73,-2.29,37.58,posicion no valida
0.30,0.25,0.79,2.63,2.58,-2.10,37.57,posicion no valida
0.29,0.26,0.78,-0.01,5.52,-6.05,37.59,posicion no valida
0.28,0.26,0.79,-0.77,4.13,-1.81,37.58,posicion no valida
0.29,0.27,0.79,-2.59,2.69,-2.59,37.58,posicion no valida
0.28,0.25,0.78,1.18,7.33,-2.44,37.61,posicion no valida
0.29,0.27,0.80,-3.32,-2.51,-0.00,37.57,posicion no valida
0.29,0.25,0.79,-3.32,3.30,-1.32,37.58,posicion no valida
0.29,0.27,0.78,3.05,6.23,0.49,37.62,posicion no valida
0.28,0.25,0.79,-0.26,4.43,-3.60,37.61,posicion no valida
0.29,0.28,0.78,-4.93,-4.54,-0.15,37.59,posicion no valida
0.29,0.26,0.80,-4.84,-6.35,2.68,37.60,posicion no valida
0.29,0.25,0.79,6.15,2.77,5.22,37.60,posicion no valida
0.29,0.26,0.79,-2.13,-7.25,-1.61,37.58,posicion no valida
0.29,0.27,0.78,-6.03,6.05,-2.88,37.60,posicion no valida
0.29,0.26,0.78,-0.39,-0.70,1.36,37.57,posicion no valida
0.29,0.25,0.80,-0.30,-0.55,-1.36,37.59,posicion no valida
0.30,0.24,0.79,-11.46,-10.42,-1.81,37.57,posicion no valida
0.29,0.26,0.79,-5.52,6.54,0.05,37.55,posicion no valida
0.28,0.27,0.79,4.37,14.56,3.80,37.59,posicion no valida
0.29,0.27,0.79,3.69,2.17,0.15,37.58,posicion no valida
0.29,0.26,0.80,3.39,2.32,-0.78,37.60,Abajo
0.29,0.27,0.79,-6.86,-4.99,-1.56,37.59,posicion no valida
0.28,0.26,0.79,-3.33,-5.56,4.10,37.57,posicion no valida
0.28,0.27,0.79,-7.94,-8.83,-2.59,37.55,posicion no valida
0.29,0.26,0.78,3.73,-3.78,-2.54,37.58,posicion no valida
0.29,0.27,0.80,-0.22,-1.15,-2.25,37.55,posicion no valida
0.29,0.26,0.79,-0.52,3.52,3.61,37.56,posicion no valida
0.29,0.25,0.79,-12.86,0.89,-6.15,37.57,posicion no valida
0.29,0.26,0.78,1.69,-0.31,-3.95,37.57,posicion no valida
0.29,0.25,0.79,-2.55,-0.43,-3.90,37.55,posicion no valida
0.29,0.25,0.79,2.24,7.67,-4.67,37.57,posicion no valida
0.29,0.27,0.80,4.32,6.54,-2.20,37.58,posicion no valida
0.29,0.28,0.80,4.49,-5.25,-3.51,37.58,posicion no valida
0.29,0.27,0.80,2.29,7.65,-4.49,37.59,Abajo
0.28,0.25,0.78,-3.07,5.03,-3.56,37.56,posicion no valida
0.28,0.26,0.79,-3.57,-7.70,-3.90,37.58,posicion no valida
0.29,0.25,0.79,-1.75,9.66,0.29,37.58,posicion no valida
0.29,0.26,0.80,7.08,1.83,3.76,37.60,posicion no valida
0.29,0.26,0.80,-4.16,-0.47,5.08,37.57,posicion no valida
0.29,0.26,0.79,-1.15,1.57,-0.00,37.58,posicion no valida
0.28,0.26,0.80,0.80,2.84,-1.51,37.56,posicion no valida
0.30,0.27,0.79,-3.53,-2.73,-2.05,37.57,posicion no valida
0.28,0.26,0.79,-4.21,1.41,3.76,37.57,posicion no valida
0.28,0.26,0.78,-1.02,4.05,-2.81,37.53,posicion no valida
0.28,0.27,0.79,-4.04,-2.73,4.24,37.53,posicion no valida
0.29,0.24,0.79,1.78,-10.94,2.78,37.57,posicion no valida
0.29,0.26,0.79,3.94,-6.88,1.02,37.59,posicion no valida
0.28,0.24,0.79,-2.13,-0.47,2.11,37.57,posicion no valida
0.29,0.26,0.78,-6.63,1.64,-2.29,37.56,posicion no valida
0.29,0.24,0.79,-2.63,-14.19,-3.90,37.55,posicion no valida
0.29,0.25,0.79,-4.25,-3.86,-1.32,37.55,posicion no valida
0.29,0.24,0.79,-7.60,7.86,-1.51,37.57,posicion no valida
0.30,0.24,0.78,-5.69,-5.75,-0.88,37.57,posicion no valida
0.29,0.26,0.79,-1.23,6.09,1.76,37.58,posicion no valida
0.28,0.27,0.80,-3.57,-7.93,-0.78,37.57,posicion no valida
0.29,0.25,0.80,6.74,-10.00,-0.78,37.55,Abajo
0.29,0.27,0.79,7.34,-6.35,0.39,37.57,posicion no valida
0.29,0.25,0.79,-1.53,5.71,0.24,37.56,posicion no valida
0.30,0.27,0.79,-0.26,-8.46,0.49,37.57,posicion no valida
0.29,0.26,0.80,-2.30,-8.27,0.44,37.56,posicion no valida
0.28,0.24,0.81,-4.46,-11.05,-1.85,37.54,Abajo
0.29,0.25,0.81,-0.52,-4.47,2.93,37.56,Abajo
0.28,0.25,0.79,-0.22,3.30,-4.23,37.57,posicion no valida
0.29,0.25,0.79,8.19,1.64,-6.75,37.57,posicion no valida
0.29,0.26,0.79,-4.21,6.50,1.12,37.56,posicion no valida
0.28,0.25,0.79,1.86,-4.84,0.49,37.54,posicion no valida
0.29,0.24,0.80,1.23,4.45,0.73,37.55,Abajo
0.28,0.27,0.80,2.50,-6.12,-1.81,37.54,posicion no valida
0.29,0.27,0.79,-0.98,0.32,-1.46,37.57,posicion no valida
0.28,0.25,0.78,1.82,3.30,-1.56,37.58,posicion no valida
0.29,0.25,0.79,-2.00,6.56,-0.39,37.54,posicion no valida
0.28,0.25,0.79,-2.72,-14.30,-0.29,37.56,posicion no valida
0.29,0.27,0.78,-7.18,1.30,-1.56,37.55,posicion no valida
0.28,0.29,0.79,-8.32,-6.54,-1.17,37.54,posicion no valida
0.29,0.25,0.78,3.06,-8.61,0.78,37.52,posicion no valida
0.29,0.24,0.79,-3.34,11.02,-0.49,37.54,posicion no valida
0.28,0.24,0.80,-7.77,11.58,-2.98,37.54,posicion no valida
0.29,0.26,0.81,-2.93,6.84,0.49,37.55,Abajo
0.30,0.25,0.79,-0.81,6.39,-0.73,37.52,posicion no valida
0.29,0.24,0.80,-2.81,5.44,-3.64,37.59,posicion no valida
0.30,0.24,0.78,11.71,-1.84,-5.12,37.51,posicion no valida
0.29,0.25,0.78,-2.30,9.51,-3.51,37.54,posicion no valida
0.29,0.27,0.79,-1.91,-0.70,1.02,37.53,posicion no valida
0.28,0.25,0.79,-3.02,-5.44,-3.71,37.53,posicion no valida
0.29,0.27,0.79,9.92,-14.19,-1.46,37.57,posicion no valida
0.28,0.26,0.79,1.52,0.02,-1.68,37.53,posicion no valida
0.28,0.25,0.79,-1.49,7.70,-0.49,37.55,posicion no valida
0.30,0.26,0.80,-2.72,6.20,-2.64,37.55,posicion no valida
0.28,0.25,0.79,-5.90,3.41,-2.10,37.54,posicion no valida
0.29,0.27,0.79,-3.29,-4.35,-0.93,37.54,posicion no valida
0.29,0.24,0.80,-2.97,11.96,-2.25,37.54,posicion no valida
0.30,0.26,0.78,-14.66,9.89,-3.07,37.52,posicion no valida
0.29,0.24,0.81,-5.06,-6.01,0.49,37.55,Abajo
0.29,0.25,0.79,-8.64,4.43,0.10,37.51,posicion no valida
0.28,0.25,0.80,2.71,2.92,5.36,37.52,Abajo
0.29,0.24,0.79,-8.62,5.72,-0.00,37.55,posicion no valida
0.29,0.27,0.80,8.10,-4.20,-1.56,37.52,posicion no valida
0.29,0.27,0.79,-0.55,-7.40,-0.15,37.54,posicion no valida
0.28,0.25,0.80,0.72,0.13,-1.61,37.53,posicion no valida
0.29,0.25,0.79,3.31,1.15,4.39,37.55,posicion no valida
0.28,0.25,0.79,-2.42,7.37,0.29,37.53,posicion no valida
0.28,0.25,0.80,-0.17,-8.31,1.49,37.51,posicion no valida
0.28,0.27,0.80,-4.63,4.53,-3.71,37.55,posicion no valida
0.29,0.27,0.78,9.17,1.41,0.68,37.50,posicion no valida
0.29,0.26,0.80,1.79,-0.36,-2.05,37.54,posicion no valida
0.29,0.24,0.80,-7.64,-1.15,-1.70,37.50,Abajo
0.29,0.26,0.80,3.52,12.02,4.24,37.54,posicion no valida
0.29,0.24,0.79,-5.39,1.34,-1.66,37.54,posicion no valida
0.29,0.25,0.80,-10.44,-4.80,-2.49,37.50,Abajo
0.29,0.27,0.79,-9.35,6.73,-3.42,37.51,posicion no valida
0.30,0.27,0.79,3.18,8.06,-0.54,37.50,posicion no valida
0.28,0.27,0.79,7.85,2.02,2.10,37.53,posicion no valida
0.29,0.26,0.78,-4.76,-8.16,-1.28,37.52,posicion no valida
0.26,0.27,0.76,-2.42,0.15,-0.05,37.53,posicion no valida
0.29,0.25,0.80,-7.97,-0.34,-2.68,37.49,posicion no valida
0.29,0.26,0.79,-1.10,7.86,1.80,37.49,posicion no valida
0.29,0.27,0.78,2.16,-5.37,2.83,37.52,posicion no valida
0.30,0.26,0.79,2.50,7.63,-1.75,37.53,posicion no valida
0.29,0.26,0.81,-2.55,-4.99,1.85,37.52,Abajo
0.30,0.26,0.79,-3.87,4.41,-4.20,37.54,posicion no valida
0.28,0.25,0.79,-4.49,8.35,-1.07,37.50,posicion no valida
0.30,0.26,0.83,2.54,-3.67,-0.77,37.51,Abajo
0.28,0.27,0.78,1.78,-3.94,0.19,37.51,posicion no valida
0.30,0.27,0.80,-0.77,8.27,0.73,37.55,posicion no valida
0.29,0.28,0.80,0.09,-8.54,0.68,37.47,posicion no valida
0.29,0.26,0.80,-6.04,-1.53,-3.03,37.51,Abajo
0.29,0.25,0.80,-3.06,-2.20,-0.20,37.52,posicion no valida
0.29,0.26,0.79,-5.69,2.81,0.69,37.53,posicion no valida
0.29,0.24,0.80,-1.40,1.19,-0.54,37.52,posicion no valida
0.29,0.24,0.79,0.04,6.99,-1.37,37.50,posicion no valida
0.29,0.26,0.80,-15.03,1.15,-5.42,37.57,posicion no valida
0.29,0.27,0.78,0.17,3.60,-0.59,37.52,posicion no valida
0.29,0.26,0.79,1.99,-4.05,-1.17,37.54,posicion no valida
0.29,0.28,0.79,3.39,4.86,-2.15,37.53,posicion no valida
0.28,0.27,0.80,2.03,-8.80,-2.88,37.55,Abajo
0.28,0.27,0.79,-3.78,2.47,-3.32,37.53,posicion no valida
0.28,0.25,0.79,3.44,4.16,-3.17,37.49,posicion no valida
0.30,0.27,0.79,-2.87,5.14,-1.37,37.49,posicion no valida
0.29,0.26,0.80,-3.27,-3.82,0.88,37.50,posicion no valida
0.29,0.26,0.79,1.54,2.20,-2.15,37.49,posicion no valida
0.28,0.27,0.79,-13.46,1.29,-1.27,37.52,posicion no valida
0.28,0.28,0.79,-5.73,-2.16,0.29,37.50,posicion no valida
0.29,0.27,0.79,-0.18,1.56,-1.56,37.54,posicion no valida
0.29,0.27,0.78,-8.33,-0.77,-1.85,37.52,posicion no valida
0.29,0.27,0.80,6.49,-2.88,-3.51,37.52,posicion no valida
0.29,0.25,0.79,-1.73,10.31,-0.44,37.50,posicion no valida
0.29,0.26,0.80,7.14,8.57,3.37,37.52,posicion no valida
0.29,0.26,0.80,9.42,4.05,4.44,37.52,Abajo
0.29,0.27,0.79,4.07,2.24,5.27,37.53,posicion no valida
0.30,0.27,0.79,-1.57,11.19,4.54,37.52,posicion no valida
0.29,0.26,0.78,2.67,3.30,3.79,37.52,posicion no valida
0.29,0.24,0.81,5.82,4.50,2.97,37.50,Abajo
0.28,0.26,0.78,6.79,14.15,3.90,37.52,posicion no valida
0.29,0.26,0.79,-5.01,11.66,-0.49,37.51,posicion no valida
0.29,0.26,0.81,-6.19,5.33,3.02,37.49,Abajo
0.29,0.25,0.80,-0.39,-0.09,2.49,37.50,posicion no valida
0.29,0.26,0.80,-15.69,-5.19,4.54,37.50,Abajo
0.28,0.26,0.78,1.86,-2.35,3.46,37.51,posicion no valida
0.29,0.25,0.79,3.95,2.47,2.93,37.50,posicion no valida
0.29,0.25,0.78,4.34,5.33,5.90,37.45,posicion no valida
0.29,0.26,0.79,-9.43,15.05,6.63,37.50,posicion no valida
0.28,0.25,0.79,1.37,2.62,4.88,37.48,posicion no valida
0.29,0.26,0.79,1.32,1.45,1.71,37.47,posicion no valida
0.29,0.27,0.78,-5.34,-4.31,-6.17,37.49,posicion no valida
0.29,0.25,0.79,-8.39,-2.51,-4.78,37.49,posicion no valida
0.27,0.25,0.77,-7.97,-9.06,-3.37,37.49,posicion no valida
0.28,0.26,0.78,3.49,-9.36,0.54,37.49,posicion no valida
0.28,0.26,0.79,-0.14,9.14,1.80,37.53,posicion no valida
0.28,0.27,0.79,4.84,-4.39,0.67,37.50,posicion no valida
0.30,0.24,0.79,1.48,2.24,0.44,37.50,posicion no valida
0.29,0.27,0.79,-9.54,0.51,3.51,37.49,posicion no valida
0.29,0.26,0.79,-3.68,2.62,5.12,37.50,posicion no valida
0.29,0.27,0.79,2.30,10.49,2.10,37.50,posicion no valida
0.29,0.25,0.80,-7.22,2.24,-4.98,37.52,posicion no valida
0.29,0.24,0.79,-5.60,5.71,-2.00,37.52,posicion no valida
0.29,0.26,0.79,-9.71,-9.89,2.73,37.46,posicion no valida
0.29,0.25,0.79,4.45,5.41,-0.83,37.50,posicion no valida
0.29,0.25,0.80,7.63,-1.45,1.80,37.53,posicion no valida
0.29,0.27,0.80,8.41,-0.47,2.93,37.49,posicion no valida
0.28,0.27,0.79,4.53,-9.06,5.07,37.52,posicion no valida
0.30,0.26,0.79,-4.61,4.35,0.68,37.47,posicion no valida
0.29,0.26,0.80,-0.40,1.41,3.56,37.50,Abajo
0.29,0.27,0.79,2.15,-3.94,0.24,37.52,posicion no valida
0.29,0.25,0.78,-0.46,3.41,-0.88,37.49,posicion no valida
